impianto;area;equipment;eis;note
SMR;SKID FUEL;USV 26024 B;*;
SMR;SKID FUEL;USV 26024 C;*;
SMR;SKID FUEL;USV 26071 A;*;
SMR;SKID FUEL;USV 26071 B;*;
SMR;SKID FUEL;USV 26071 C;*;
SMR;SKID H2O MARE;E821/1 - Scambiatore acqua di raffredd.;;
SMR;SKID H2O MARE;E821/2 - Scambiatore acqua di raffredd.;;
SMR;SKID H2O MARE;Filtri e prefiltri acqua mare;;
SMR;SKID H2O MARE;FT80211- PORTATA  DELL' ACQUA DI RAFFRED;;
SMR;SKID H2O MARE;P821/1 - Pompa acqua di raffreddamento;;
SMR;SKID H2O MARE;P821/1M - Motore pompa acqua raffredd.;;
SMR;SKID H2O MARE;P821/2 - Pompa acqua di raffreddamento;;
SMR;SKID H2O MARE;P821/2M - Motore pompa acqua raffredd.;;
SMR;SKID H2O MARE;PT80202 - PRESSIONE DEL VESSEL V821;;
SMR;SKID H2O MARE;PT80212- PRES. DELL'ACQUA DI RAFFREDDAM;;
SMR;SKID H2O MARE;SCARICHI ACQUA MARE;;
SMR;SKID H2O MARE;Tubazioni;;
SMR;SKID H2O MARE;V821 - Vaso di espansione;;
SMR;SKID SCAMBIATORI;E223 - Pre-riscaldatore DMW;;
SMR;SKID SCAMBIATORI;E224 - Pre-riscaldatore DMW;;
SMR;SKID SCAMBIATORI;E226 - Pre-riscaldatore DMW;;
SMR;SKID SCAMBIATORI;E228 - Refrigerante ad aria;;
SMR;SKID SCAMBIATORI;E228/1M - Motore refrigerante ad aria;;
SMR;SKID SCAMBIATORI;E228/2M - Motore refrigerante ad aria;;
SMR;SKID SCAMBIATORI;E229 - Refrigerante ad acqua;;
SMR;SKID SCAMBIATORI;E251 - Scamb.carica effl./cond.di proc.;;
SMR;SKID SCAMBIATORI;FT27323- PORTATA  DELLA MANDATA  POMPE P;;
SMR;SKID SCAMBIATORI;FT27420- PORTATA  DI MANDATA POMPA P201-;;
SMR;SKID SCAMBIATORI;K251 - Stripper condensati di processo;;
SMR;SKID SCAMBIATORI;LT27114- LIVELLO SEPARATORE DI CONDENSE;;
SMR;SKID SCAMBIATORI;LT27118A- LIVELLO SEPARATORE DI CONDENSE;*;
SMR;SKID SCAMBIATORI;LT27118B- LIVELLO SEPARATORE DI CONDENSE;*;
SMR;SKID SCAMBIATORI;LT27118C- LIVELLO SEPARATORE DI CONDENSE;*;
SMR;SKID SCAMBIATORI;LT27310A - LIVELLO DELLA COLONNA K251;;
SMR;SKID SCAMBIATORI;LT27310B - LIVELLO DELLA COLONNA K251;;
SMR;SKID SCAMBIATORI;LT27310C - LIVELLO DELLA COLONNA K251;;
SMR;SKID SCAMBIATORI;LV27118B - LIVELLO V221;;
SMR;SKID SCAMBIATORI;P201/1 - Corpo pompa BFW;;
SMR;SKID SCAMBIATORI;P201/1M - Motore pompa BFW;;
SMR;SKID SCAMBIATORI;P201/2 - Corpo pompa BFW;;
SMR;SKID SCAMBIATORI;P201/2M - Motore pompa BFW;;
SMR;SKID SCAMBIATORI;P201/3 - Corpo pompa BFW;;
SMR;SKID SCAMBIATORI;P251/1 - Pompa del condensato di proc.;;
SMR;SKID SCAMBIATORI;P251/1M - Mot.pompa condens. di proc.;;
SMR;SKID SCAMBIATORI;P251/2 - Pompa del condensato di proc.;;
SMR;SKID SCAMBIATORI;P251/2M - Mot.pompa condens. di proc.;;
SMR;SKID SCAMBIATORI;PIT27413- PRES. DI ASPIRAZIONE DELLA POM;;
SMR;SKID SCAMBIATORI;PIT27419- PRES. DELLA MANDATA POMPA P201;;
SMR;SKID SCAMBIATORI;PIT27423- PRES. DI ASPIRAZIONE DELLA POM;;
SMR;SKID SCAMBIATORI;PT27307- PRES.  DEL PROCESSO CONDENSATO;;
SMR;SKID SCAMBIATORI;SCALA - SKID SCAMBIATORI;;
SMR;SKID SCAMBIATORI;Skid Scambiatori;;
SMR;SKID SCAMBIATORI;TI90181;;
SMR;SKID SCAMBIATORI;Tubazioni - Skid Scambiatori;;
SMR;SKID SCAMBIATORI;TV27106;;
SMR;SKID SCAMBIATORI;TV27205;;
SMR;SKID SCAMBIATORI;V221 - Separatore condensati di processo;;
SMR;SKID SCAMBIATORI;V226 - Separatore condensati syngas;;
SMR;TANK IDROGENO;PT64017 - PRES. DELL H2 DI BACK-UP;;
SMR;TANK IDROGENO;PT83050 - PRES. DELL' IDROGENO A V871;;
SMR;TANK IDROGENO;V871 - Stoccaggio H2;;
SMR;TANK OFFGAS;V601 - Off-gas drum;;
SMR;TUTTO IMPIANTO;Elettriche;;
SMR;TUTTO IMPIANTO;Estintori;;
SMR;TUTTO IMPIANTO;Fire&Gas System;*;
SMR;TUTTO IMPIANTO;Idranti;;
SMR;TUTTO IMPIANTO;Illuminazione;;
SMR;TUTTO IMPIANTO;IMPIANTO ANTINCENDIO;*;
SMR;TUTTO IMPIANTO;Impianto di messa a terra;;
SMR;TUTTO IMPIANTO;Impianto Megafoni;;
SMR;TUTTO IMPIANTO;Manichette antincendio e contenitori;;
SMR;TUTTO IMPIANTO;Meccaniche;;
SMR;TUTTO IMPIANTO;Monitori;;
SMR;TUTTO IMPIANTO;Prese Campione;;
SMR;TUTTO IMPIANTO;Pulsanti A.I.;*;
SMR;TUTTO IMPIANTO;Pulsanti di emergenza;;
SMR;TUTTO IMPIANTO;Quadro sinottico allarmi A.I.;;
SMR;TUTTO IMPIANTO;Recinzione;;
SMR;TUTTO IMPIANTO;Semafori;;
SMR;TUTTO IMPIANTO;Sirene e allarmi acustici;;
SMR;TUTTO IMPIANTO;Strumentali;;
SMR;TUTTO IMPIANTO;Telecamere e sistema vigilanza;;
SMR;TUTTO IMPIANTO;TUTTO L'IMPIANTO;;
SMR;UFFICI SMR;Telecomunicazioni - Rete;;
SMR;UFFICI SMR;UFFICI;;
SMR;UFFICI SMR;VASCA ACCUMULO REFLUI SERVIZI IGIENICI;;
SMR;VASCA V801;FI90101 - Acqua ad IAS;;
SMR;VASCA V801;LT84073- LIVELLO DELL'ACQUA DEL GASSIFI;;
SMR;VASCA V801;LT85055 - LIVELLO DELLA VASCA V801;;
SMR;VASCA V801;LT86003A - LIVELLO DEL  VESSEL  V811;*;
SMR;VASCA V801;LT86003B - LIVELLO DEL  VESSEL  V811;*;
SMR;VASCA V801;P801/1 - Pompa sollevamento acque reflue;;
SMR;VASCA V801;P801/1M - Mot. pompa sollev.H2O reflue;;
SMR;VASCA V801;P801/2 - Pompa sollevamento acque reflue;;
SMR;VASCA V801;P801/2M - Mot. pompa sollev.H2O reflue;;
SMR;VASCA V801;PT85057- PRES. DELLA CO2 IMMESSA NELLA V;;
SMR;VASCA V801;PT86007 - PRESSIONE DEL VESSEL V811;;
SMR;VASCA V801;Tubazioni - Vasca;;
SMR;VASCA V801;V801 - Vasca di raccolta acque reflue;;
SMR;VASCA V801;V811 - Separatore torcia;;
SMR;VASCA V801;X801 - Gruppo iniezione CO2;;
SMR;ZONA CONVETTIVA;AIT21154A - AN. DI O2 FUMI ZONA CONVETTIVA;;
SMR;ZONA CONVETTIVA;AIT21154B- AN. DI O2 FUMI ZONA CONVETTIVA;;
SMR;ZONA CONVETTIVA;E211 - Pre-riscaldatore carica reforming;;
SMR;ZONA CONVETTIVA;E212 - Pre-riscald. carica pre-reforming;;
SMR;ZONA CONVETTIVA;E213 - Riscaldatore aria di combustione;;
SMR;ZONA CONVETTIVA;E214 - Riscaldatore gas alimentazione;;
SMR;ZONA CONVETTIVA;E215 - Surriscaldatore vapore;;
SMR;ZONA CONVETTIVA;E216 - Waste heat boiler coil;;
SMR;ZONA CONVETTIVA;E218 - Riscaldatore aria di combustione;;
SMR;ZONA CONVETTIVA;ZONA CONVETTIVA;;
SMR;ZONA VENTOLE;AIT21170A- CO NEI FUMI;;
SMR;ZONA VENTOLE;AIT21170B - OSSIGENO NEI FUMI;;
SMR;ZONA VENTOLE;AIT21170C -  NO2 NEI FUMI;;
SMR;ZONA VENTOLE;AIT21170D - NO2 NEI FUMI;;
SMR;ZONA VENTOLE;AIT21170E - NOX NEI FUMI;;
SMR;ZONA VENTOLE;AIT21170F - SOX NEI FUMI;;
SMR;ZONA VENTOLE;AIT21172 - POLV ERI NEI FUMI;;
SMR;ZONA VENTOLE;C211 - Soffiante aria;;
SMR;ZONA VENTOLE;C211M - Motore soffiante aria;;
SMR;ZONA VENTOLE;C212 - Estrattore fumi;;
SMR;ZONA VENTOLE;C212M - Motore estrattore fumi;;
SMR;ZONA VENTOLE;FL211 - Camino;;
SMR;ZONA VENTOLE;FT21170 - PORTATA DEI FUMI DEL CAMINO;;
SMR;ZONA VENTOLE;FT21179- PORTATA DELL'ARIA  IN ASPIRAZIO;;
SMR;ZONA VENTOLE;PT21170- PRES. DEI FUMI IN USCITA CAMINO;;
SMR;ZONA VENTOLE;PT21179A - PRES. DELL'ARIA AI BRUCIATORI;*;
SMR;ZONA VENTOLE;PT21179B - PRESSIONE ARIA AI BRUCIATORI;*;
SMR;ZONA VENTOLE;PT21179C - PRESSIONE ARIA AI BRUCIATORI;*;
SMR;ZONA VENTOLE;PV21184;;
SMR;ZONA VENTOLE;TT21170 - TEMP. DEI FUMI NEL CAMINO;;
